Timestamp,,Sensor1,Sensor2,,,,
18:50:53,3.816,324,4,,,,
18:50:53,3.824,196,36,,,,
18:50:53,3.832,121,64,,,,
18:50:53,3.84,441,1,,,,
18:50:53,3.848,361,1,,,,
18:50:53,3.856,400,0,,,,
18:50:53,3.864,81,4,,,,
18:50:53,3.872,9,169,,,,
18:50:53,3.88,0,25,,,,
18:50:53,3.888,484,49,,,,
18:50:53,3.896,784,4,,,,
18:50:53,3.904,1,9,,,,
18:50:53,3.912,676,16,,,,
18:50:53,3.92,841,81,,,,
18:50:53,3.928,400,36,,,,
18:50:53,3.936,1369,4,,,,
18:50:53,3.944,3600,64,,,,
18:50:53,3.952,144,16,,,,
18:50:53,3.96,1,196,,,,
18:50:53,3.968,0,16,,,,
18:50:54,3.976,121,9,,,,
18:50:54,3.984,324,1,,,,
18:50:54,3.992,784,9,,,,
18:50:54,4,484,0,,,,
18:50:54,4.008,144,100,,,,
18:50:54,4.016,100,36,,,,
18:50:54,4.024,100,9,,,,
18:50:54,4.032,9,1,,,,
18:50:54,4.04,64,64,,,,
18:50:54,4.048,196,25,,,,
18:50:54,4.056,4,81,,,,
18:50:54,4.064,49,225,,,,
18:50:54,4.072,1,64,,,,
18:50:54,4.08,196,4,,,,
18:50:54,4.088,324,9,,,,
18:50:54,4.096,144,9,,,,
18:50:54,4.104,121,100,,,,
18:50:54,4.112,16,121,,,,
18:50:54,4.12,1,36,,,,
18:50:54,4.128,0,81,,,,
18:50:54,4.136,64,169,,,,
18:50:54,4.144,36,121,,,,
18:50:54,4.152,25,49,,,,
18:50:54,4.16,9,16,,,,
18:50:54,4.168,49,16,,,,
18:50:54,4.176,4,49,,,,
18:50:54,4.184,25,81,,,,
18:50:54,4.192,36,144,,,,
18:50:54,4.2,169,441,,,,
18:50:54,4.208,0,256,,,,
18:50:54,4.216,121,1,,,,
18:50:54,4.224,36,64,,,,
18:50:54,4.232,36,36,,,,
18:50:54,4.24,625,16,,,,
18:50:54,4.248,289,81,,,,
18:50:54,4.256,0,169,,,,
18:50:54,4.264,9,49,,,,
18:50:54,4.272,144,0,,,,
18:50:54,4.28,169,81,,,,
18:50:54,4.288,64,25,,,,
18:50:54,4.296,81,4,,,,
18:50:54,4.304,4,0,,,,
18:50:54,4.312,1,36,,,,
18:50:54,4.32,1,25,,,,
18:50:54,4.328,9,0,,,,
18:50:54,4.336,144,1,,,,
18:50:54,4.344,625,64,,,,
18:50:54,4.352,36,49,,,,
18:50:54,4.36,484,0,,,,
18:50:54,4.368,576,25,,,,
18:50:54,4.376,64,16,,,,
18:50:54,4.384,676,9,,,,
18:50:54,4.392,1764,289,,,,
18:50:54,4.4,196,324,,,,
18:50:54,4.408,25,0,,,,
18:50:54,4.416,36,169,,,,
18:50:54,4.424,64,289,,,,
18:50:54,4.432,324,121,,,,
18:50:54,4.44,361,0,,,,
18:50:54,4.448,49,0,,,,
18:50:54,4.456,4,0,,,,
18:50:54,4.464,144,9,,,,
18:50:54,4.472,169,9,,,,
18:50:54,4.48,9,64,,,,
18:50:54,4.488,64,64,,,,
18:50:54,4.496,121,0,,,,
18:50:54,4.504,100,144,,,,
18:50:54,4.512,9,225,,,,
18:50:54,4.52,9,121,,,,
18:50:54,4.528,49,25,,,,
18:50:54,4.536,100,64,,,,
18:50:54,4.544,36,225,,,,
18:50:54,4.552,49,81,,,,
18:50:54,4.56,81,4,,,,
18:50:54,4.568,400,25,,,,
18:50:54,4.576,64,9,,,,
18:50:54,4.584,4,144,,,,
18:50:54,4.592,9,225,,,,
18:50:54,4.6,49,1,,,,
18:50:54,4.608,81,121,,,,
18:50:54,4.616,25,1,,,,
18:50:54,4.624,196,169,,,,
18:50:54,4.632,64,324,,,,
18:50:54,4.64,49,169,,,,
18:50:54,4.648,256,1,,,,
18:50:54,4.656,25,25,,,,
18:50:54,4.664,16,49,,,,
18:50:54,4.672,9,121,,,,
18:50:54,4.68,49,36,,,,
18:50:54,4.688,64,100,,,,
18:50:54,4.696,49,400,,,,
18:50:54,4.704,9,484,,,,
18:50:54,4.712,1,81,,,,
18:50:54,4.72,0,9,,,,
18:50:54,4.728,0,256,,,,
18:50:54,4.736,0,289,,,,
18:50:54,4.744,36,121,,,,
18:50:54,4.752,4,169,,,,
18:50:54,4.76,0,196,,,,
18:50:54,4.768,25,144,,,,
18:50:54,4.776,9,49,,,,
18:50:54,4.784,169,1,,,,
18:50:54,4.792,144,4,,,,
18:50:54,4.8,121,0,,,,
18:50:54,4.808,81,25,,,,
18:50:54,4.816,100,49,,,,
18:50:54,4.824,169,1,,,,
18:50:54,4.832,169,4,,,,
18:50:54,4.84,9,36,,,,
18:50:54,4.848,100,16,,,,
18:50:54,4.856,100,9,,,,
18:50:54,4.864,9,1,,,,
18:50:54,4.872,25,25,,,,
18:50:54,4.88,0,0,,,,
18:50:54,4.888,81,25,,,,
18:50:54,4.896,441,1,,,,
18:50:54,4.904,36,25,,,,
18:50:54,4.912,144,289,,,,
18:50:54,4.92,144,289,,,,
18:50:55,4.928,784,196,,,,
18:50:55,4.936,1225,64,,,,
18:50:55,4.944,289,289,,,,
18:50:55,4.952,729,196,,,,
18:50:55,4.96,0,196,,,,
18:50:55,4.968,1849,0,,,,
18:50:55,4.976,256,9,,,,
18:50:55,4.984,49,324,,,,
18:50:55,4.992,529,81,,,,
18:50:55,5,16,1,,,,
18:50:55,5.008,9,169,,,,
18:50:55,5.016,81,169,,,,
18:50:55,5.024,676,36,,,,
18:50:55,5.032,49,36,,,,
18:50:55,5.04,49,0,,,,
18:50:55,5.048,900,1,,,,
18:50:55,5.056,6084,324,,,,
18:50:55,5.064,12100,1156,,,,
18:50:55,5.072,2025,676,,,,
18:50:55,5.08,324,81,,,,
18:50:55,5.088,1089,0,,,,
18:50:55,5.096,324,1,,,,
18:50:55,5.104,81,36,,,,
18:50:55,5.112,1444,16,,,,
18:50:55,5.12,2500,1,,,,
18:50:55,5.128,441,196,,,,
18:50:55,5.136,36,441,,,,
18:50:55,5.144,0,289,,,,
18:50:55,5.152,100,144,,,,
18:50:55,5.16,9,4,,,,
18:50:55,5.168,25,36,,,,
18:50:55,5.176,256,169,,,,
18:50:55,5.184,225,256,,,,
18:50:55,5.192,169,81,,,,
18:50:55,5.2,576,9,,,,
18:50:55,5.208,1024,0,,,,
18:50:55,5.216,324,0,,,,
18:50:55,5.224,9,4,,,,
18:50:55,5.232,16,25,,,,
18:50:55,5.24,36,64,,,,
18:50:55,5.248,289,81,,,,
18:50:55,5.256,36,100,,,,
18:50:55,5.264,1,169,,,,
18:50:55,5.272,9,81,,,,
18:50:55,5.28,169,16,,,,
18:50:55,5.288,25,100,,,,
18:50:55,5.296,49,144,,,,
18:50:55,5.304,144,25,,,,
18:50:55,5.312,576,9,,,,
18:50:55,5.32,144,9,,,,
18:50:55,5.328,9,49,,,,
18:50:55,5.336,9,25,,,,
18:50:55,5.344,25,0,,,,
18:50:55,5.352,169,4,,,,
18:50:55,5.36,64,64,,,,
18:50:55,5.368,36,36,,,,
18:50:55,5.376,36,0,,,,
18:50:55,5.384,25,16,,,,
18:50:55,5.392,64,81,,,,
18:50:55,5.4,324,64,,,,
18:50:55,5.408,324,36,,,,
18:50:55,5.416,676,81,,,,
18:50:55,5.424,324,16,,,,
18:50:55,5.432,81,0,,,,
18:50:55,5.44,81,1,,,,
18:50:55,5.448,9,1,,,,
18:50:55,5.456,256,100,,,,
18:50:55,5.464,9,256,,,,
18:50:55,5.472,81,4,,,,
18:50:55,5.48,36,0,,,,
18:50:55,5.488,49,9,,,,
